veldnaam;;;;;categorie;element;GBA Persoon veldnaam;;;;;aanpassing door proxy;afleiding of feature;Buitengemeentelijke autorisatie;Beperkt zoekresultaat;
;datumVan;;;;;;;;;;;"vullen uit verblijfplaats.datumAanvangAdreshouding Of verblijfplaats.datumAanvangAdresBuitenland + ";;;;
vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;datum;Ja;;;;;;;;;;;;;;
;verblijfadres;;;;;;;;;;;;;~;;
;;korteNaam;;;8;11.10;;straat;;;;standaardwaarde . uitfilteren;adres, onbekend_waardes;Ja;;
;;straat;;;;;;;;;;als verblijfplaats.naamOpenbareRuimte heeft een waarde: verblijfplaats.naamOpenbareRuimte, anders: verblijfplaats.straat, standaardwaarde . uitfilteren;adres, onbekend_waardes;Ja;;
;;;;;8;11.15;;naamOpenbareRuimte;;;;verwijderen (komt alleen voor in GBA varianten);;;;
;;huisnummer;;;8;11.20;;huisnummer;;;;standaardwaarde 0 uitfilteren;;Ja;;
;;huisletter;;;8;11.30;;huisletter;;;;;;Ja;;
;;huisnummertoevoeging;;;8;11.40;;huisnummertoevoeging;;;;;;Ja;;
;;aanduidingBijHuisnummer;;;8;11.50;;aanduidingBijHuisnummer;;;;;;Ja;;
;;postcode;;;8;11.60;;postcode;;;;;;Ja;;
;;woonplaats;;;8;11.70;;woonplaats;;;;als woonplaats is leeg of . (onbekend) en straat heeft waarde of locatiebeschrijving heeft waarde: gemeenteVanInschrijving.omschrijving;adres;Ja;;
;;locatiebeschrijving;;;8;12.10;;locatiebeschrijving;;;;;;Ja;;
;;land;;;8;13.10;;land;;;;standaardwaarde 0000 uitfilteren, gebruiken voor vertrokkenOnbekendWaarheen;onbekend_waardes;Ja;;
;;;;;;;;datumAanvangAdresBuitenland;;;;verwijderen (komt alleen voor in GBA varianten);;Ja;;
;;regel1;;;8;13.30;;regel1;;;;niet plaatsen als verblijfplaats.type != VerblijfplaatsBuitenland;;Ja;;
;;regel2;;;8;13.40;;regel2;;;;niet plaatsen als verblijfplaats.type != VerblijfplaatsBuitenland;;Ja;;
;;regel3;;;8;13.50;;regel3;;;;niet plaatsen als verblijfplaats.type != VerblijfplaatsBuitenland;;Ja;;
;;inOnderzoek;;;;;;;;;;;;~;;
;;;*;;;;;;;;;verblijfplaats.inOnderzoek.aanduidingGegevensInOnderzoek vertalen naar boolean properties;in_onderzoek;Ja;;
;;;datumIngangOnderzoek;;;;;;;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;in_onderzoek, datum;Ja;;
;inOnderzoek;;;;8;;;inOnderzoek;;;;;;~;;
;;*;;;8;83.10;;;aanduidingGegevensInOnderzoek;;;vertalen naar boolean properties;in_onderzoek;Ja;;
;;datumIngangOnderzoek;;;8;83.20;;;datumIngangOnderzoek;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;in_onderzoek, datum;Ja;;
;datumIngangGeldigheid;;;;8;85.10;;datumIngangGeldigheid;;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;datum;;;
immigratie;;;;;8;;immigratie;;;;;;;;;
;landVanwaarIngeschreven;;;;8;14.10;;landVanwaarIngeschreven;;;;standaardwaarde 0000 uitfilteren;onbekend_waardes;;;
;vanuitVerblijfplaatsOnbekend;;;;;;;;;;;als immigratie.landVanwaarIngeschreven == 0000: true;immigratie;Ja;;
;datumVestigingInNederland;;;;8;14.20;;datumVestigingInNederland;;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;datum;Ja;;
;indicatieVestigingVanuitBuitenland;;;;;;;;;;;als immigratie.datumVestigingInNederland !== leeg/null: true;immigratie;Ja;;
;inOnderzoek;;;;;;;;;;;;;~;;
;;*;;;;;;;;;;verblijfplaats.inOnderzoek.aanduidingGegevensInOnderzoek vertalen naar boolean properties;in_onderzoek;Ja;;
;;datumIngangOnderzoek;;;;;;;;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;in_onderzoek, datum;Ja;;
kinderen;;;;;9;;kinderen;;;;;;kinderen;~;;
;burgerservicenummer;;;;9;01.20;;burgerservicenummer;;;;;;Ja;;
;naam;;;;9;;;naam;;;;;;Ja;;
;;voorletters;;;;;;;;;;afleiden uit kinderen.naam.voornamen;voorletters;Ja;;
